TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,GAME_ROWS,AVG_GAME_MARGIN,AVG_TEAM_SCORE,AVG_OPP_SCORE
2437,Omaha Mavericks,Summit League,0.4848485,-0.4,33,-0.454545,75.969697,76.424242
233,South Dakota Coyotes,Summit League,0.5,-0.6,32,-0.593750,79.593750,80.187500
269,Marquette Golden Eagles,Big East Conference,0.375,-0.6,32,-0.625000,75.156250,75.781250
242,Rice Owls,American Conference,0.41935483,-0.6,31,-0.645161,73.903226,74.548387
155,North Dakota Fighting Hawks,Summit League,0.51428574,-0.7,35,-0.714286,76.571429,77.285714
195,Ohio Bobcats,Mid-American Conference,0.46875,-0.7,32,-0.718750,77.875000,78.593750
2261,Hampton Pirates,Coastal Athletic Association,0.40625,-0.9,32,-0.843750,69.906250,70.750000
87,Notre Dame Fighting Irish,Atlantic Coast Conference,0.41935483,-0.8,31,-0.870968,74.451613,75.322581
159,Dartmouth Big Green,Ivy League,0.4074074,-0.9,27,-0.888889,75.814815,76.703704
399,UAlbany Great Danes,America East Conference,0.34375,-0.9,32,-0.906250,71.968750,72.875000
282,Indiana State Sycamores,Missouri Valley Conference,0.34375,-0.9,32,-0.906250,73.562500,74.468750
331,Eastern Washington Eagles,Big Sky Conference,0.42424244,-0.9,33,-0.909091,78.060606,78.969697
2329,Lehigh Mountain Hawks,Patriot League,0.51428574,-1.1,35,-1.057143,72.714286,73.771429
2429,Charlotte 49ers,American Conference,0.5,-1.1,34,-1.117647,73.294118,74.411765
2635,Tennessee Tech Golden Eagles,Ohio Valley Conference,0.41935483,-1.2,31,-1.161290,73.290323,74.451613
221,Pittsburgh Panthers,Atlantic Coast Conference,0.3939394,-1.3,33,-1.303030,70.515152,71.818182
2441,New Haven Chargers,Northeast Conference,0.4516129,-1.4,32,-1.312500,62.906250,64.218750
2529,Sacred Heart Pioneers,Metro Atlantic Athletic Conference,0.42424244,-1.4,33,-1.393939,75.212121,76.606061
265,Washington State Cougars,West Coast Conference,0.375,-1.4,32,-1.406250,76.093750,77.500000
2349,UMass Lowell River Hawks,America East Conference,0.45454547,-1.4,33,-1.424242,74.878788,76.303030
235,Memphis Tigers,American Conference,0.40625,-1.5,32,-1.468750,75.218750,76.687500
2579,South Carolina Gamecocks,Southeastern Conference,0.40625,-1.6,32,-1.531250,74.937500,76.468750
2065,Bethune-Cookman Wildcats,Southwestern Athletic Conference,0.53125,-1.5,32,-1.562500,75.375000,76.937500
2198,Eastern Kentucky Colonels,ASUN Conference,0.34375,-1.5,32,-1.593750,80.250000,81.843750
91,Bellarmine Knights,ASUN Conference,0.40625,-1.7,33,-1.606061,77.606061,79.212121
304,Idaho State Bengals,Big Sky Conference,0.3939394,-1.7,33,-1.636364,74.515152,76.151515
295,Old Dominion Monarchs,Sun Belt Conference,0.36363637,-1.7,33,-1.696970,76.181818,77.878788
2352,Loyola Maryland Greyhounds,Patriot League,0.375,-1.9,32,-1.843750,75.218750,77.062500
2430,UNC Greensboro Spartans,Southern Conference,0.44117647,-1.9,34,-1.852941,78.617647,80.470588
